Timestamp,Temperature,Humidity,Pressure
2025-01-25 20:30:46,72.79 °F,18.99 %,982.83 hPa
2025-01-25 20:30:49,72.79 °F,19.04 %,982.83 hPa
2025-01-25 20:30:51,72.79 °F,19.00 %,982.85 hPa
2025-01-25 20:30:54,72.77 °F,19.02 %,982.83 hPa
2025-01-25 20:31:00,72.73 °F,19.01 %,982.85 hPa
2025-01-25 20:31:04,72.72 °F,19.01 %,982.82 hPa
2025-01-25 20:31:07,72.72 °F,19.04 %,982.84 hPa
2025-01-25 20:31:17,72.72 °F,19.03 %,982.83 hPa
2025-01-25 20:31:20,72.70 °F,19.07 %,982.81 hPa
2025-01-25 20:31:22,72.70 °F,19.08 %,982.80 hPa
2025-01-25 20:31:24,72.70 °F,19.08 %,982.84 hPa
2025-01-25 20:31:27,72.70 °F,19.07 %,982.84 hPa
2025-01-25 20:31:29,72.70 °F,19.07 %,982.80 hPa
2025-01-25 20:31:31,72.68 °F,19.08 %,982.80 hPa
2025-01-25 20:31:33,72.66 °F,19.08 %,982.83 hPa
2025-01-25 20:31:36,72.66 °F,19.09 %,982.85 hPa
2025-01-25 20:31:38,72.64 °F,19.08 %,982.81 hPa
2025-01-25 20:31:41,72.64 °F,19.08 %,982.83 hPa
2025-01-25 20:31:43,72.63 °F,19.10 %,982.83 hPa
2025-01-25 20:31:49,72.61 °F,19.12 %,982.84 hPa
2025-01-25 20:31:51,72.59 °F,19.12 %,982.81 hPa
2025-01-25 20:31:53,72.57 °F,19.11 %,982.80 hPa
2025-01-25 20:31:55,72.57 °F,19.11 %,982.79 hPa
2025-01-25 20:31:58,72.57 °F,19.11 %,982.80 hPa
2025-01-25 20:32:00,72.55 °F,19.13 %,982.81 hPa
2025-01-25 20:32:03,72.57 °F,19.13 %,982.80 hPa
2025-01-25 20:32:05,72.57 °F,19.15 %,982.82 hPa
2025-01-25 20:32:07,72.57 °F,19.12 %,982.81 hPa
2025-01-25 20:32:09,72.57 °F,19.12 %,982.82 hPa
2025-01-25 20:32:11,72.57 °F,19.11 %,982.79 hPa
2025-01-25 20:32:15,72.54 °F,19.12 %,982.83 hPa
2025-01-25 20:32:17,72.55 °F,19.13 %,982.81 hPa
2025-01-25 20:32:20,72.54 °F,19.13 %,982.82 hPa
2025-01-25 20:32:22,72.52 °F,19.14 %,982.81 hPa
2025-01-25 20:32:25,72.48 °F,19.17 %,982.83 hPa
2025-01-25 20:32:29,72.46 °F,19.19 %,982.84 hPa
2025-01-25 20:32:32,72.48 °F,19.19 %,982.84 hPa
2025-01-25 20:32:34,72.48 °F,19.19 %,982.82 hPa
2025-01-25 20:32:36,72.46 °F,19.19 %,982.81 hPa
2025-01-25 20:32:40,72.46 °F,19.21 %,982.80 hPa
2025-01-25 20:32:42,72.45 °F,19.21 %,982.81 hPa
2025-01-25 20:32:45,72.43 °F,19.19 %,982.82 hPa
2025-01-25 20:32:47,72.41 °F,19.18 %,982.80 hPa
2025-01-25 20:32:50,72.41 °F,19.18 %,982.78 hPa
2025-01-25 20:32:56,72.39 °F,19.21 %,982.79 hPa
2025-01-25 20:32:58,72.39 °F,19.22 %,982.79 hPa
2025-01-25 20:33:04,72.37 °F,19.20 %,982.81 hPa
2025-01-25 20:33:13,72.32 °F,19.23 %,982.78 hPa
2025-01-25 20:33:15,72.32 °F,19.20 %,982.81 hPa
2025-01-25 20:33:18,72.30 °F,19.23 %,982.80 hPa
2025-01-25 20:33:20,72.28 °F,19.25 %,982.77 hPa
2025-01-25 20:33:25,72.28 °F,19.29 %,982.79 hPa
2025-01-25 20:33:27,72.28 °F,19.30 %,982.81 hPa
2025-01-25 20:33:31,72.28 °F,19.30 %,982.79 hPa
2025-01-25 20:33:38,72.25 °F,19.27 %,982.80 hPa
2025-01-25 20:33:40,72.23 °F,19.28 %,982.79 hPa
2025-01-25 20:33:43,72.23 °F,19.28 %,982.78 hPa
2025-01-25 20:33:45,72.25 °F,19.31 %,982.78 hPa
2025-01-25 20:33:48,72.28 °F,19.30 %,982.80 hPa
2025-01-25 20:33:51,72.28 °F,19.31 %,982.79 hPa
2025-01-25 20:33:57,72.21 °F,19.28 %,982.79 hPa
2025-01-25 20:34:00,72.21 °F,19.27 %,982.82 hPa
2025-01-25 20:34:03,72.21 °F,19.29 %,982.83 hPa
2025-01-25 20:34:06,72.21 °F,19.32 %,982.82 hPa
2025-01-25 20:34:08,72.21 °F,19.34 %,982.81 hPa
2025-01-25 20:34:10,72.19 °F,19.30 %,982.80 hPa
2025-01-25 20:34:13,72.18 °F,19.32 %,982.83 hPa
2025-01-25 20:34:31,72.12 °F,19.33 %,982.85 hPa
2025-01-25 20:34:33,72.14 °F,19.36 %,982.82 hPa
2025-01-25 20:34:35,72.12 °F,19.35 %,982.84 hPa
2025-01-25 20:34:38,72.14 °F,19.35 %,982.82 hPa
2025-01-25 20:34:51,72.16 °F,19.35 %,982.83 hPa
2025-01-25 20:34:55,72.12 °F,19.35 %,982.84 hPa
2025-01-25 20:34:57,72.14 °F,19.35 %,982.84 hPa
2025-01-25 20:35:04,72.18 °F,19.36 %,982.79 hPa
2025-01-25 20:35:10,72.16 °F,19.34 %,982.78 hPa
2025-01-25 20:35:14,72.12 °F,19.34 %,982.78 hPa
2025-01-25 20:35:16,72.12 °F,19.34 %,982.82 hPa
2025-01-25 20:35:22,72.09 °F,19.36 %,982.83 hPa
2025-01-25 20:35:26,72.09 °F,19.38 %,982.85 hPa
2025-01-25 20:35:28,72.05 °F,19.37 %,982.81 hPa
2025-01-25 20:35:36,72.03 °F,19.38 %,982.83 hPa
2025-01-25 20:35:43,72.01 °F,19.38 %,982.85 hPa
2025-01-25 20:35:47,72.01 °F,19.40 %,982.86 hPa
2025-01-25 20:35:49,72.07 °F,19.37 %,982.84 hPa
2025-01-25 20:35:52,72.01 °F,19.36 %,982.81 hPa
2025-01-25 20:35:55,72.05 °F,19.37 %,982.81 hPa
2025-01-25 20:35:58,72.09 °F,19.37 %,982.86 hPa
2025-01-25 20:36:01,72.16 °F,19.35 %,982.86 hPa
2025-01-25 20:36:04,72.12 °F,19.37 %,982.83 hPa
2025-01-25 20:36:07,72.12 °F,19.38 %,982.87 hPa
2025-01-25 20:36:09,72.14 °F,19.36 %,982.83 hPa
2025-01-25 20:36:11,72.12 °F,19.37 %,982.88 hPa
2025-01-25 20:36:13,72.18 °F,19.27 %,982.85 hPa
2025-01-25 20:36:16,72.18 °F,19.25 %,982.83 hPa
2025-01-25 20:36:22,72.21 °F,19.25 %,982.81 hPa
2025-01-25 20:36:35,72.09 °F,19.33 %,982.85 hPa
2025-01-25 20:36:38,72.09 °F,19.35 %,982.88 hPa
2025-01-25 20:36:40,72.09 °F,19.36 %,982.88 hPa
2025-01-25 20:36:44,72.09 °F,19.36 %,982.92 hPa
2025-01-25 20:36:47,72.10 °F,19.35 %,982.91 hPa
2025-01-25 20:36:50,72.12 °F,19.37 %,982.85 hPa
2025-01-25 20:36:57,72.12 °F,19.34 %,982.83 hPa
2025-01-25 20:37:01,72.12 °F,19.37 %,982.85 hPa
2025-01-25 20:37:06,72.14 °F,19.39 %,982.81 hPa
2025-01-25 20:37:08,72.12 °F,19.37 %,982.84 hPa
2025-01-25 20:37:17,72.09 °F,19.34 %,982.85 hPa
2025-01-25 20:37:19,72.07 °F,19.34 %,982.83 hPa
2025-01-25 20:37:22,72.09 °F,19.35 %,982.86 hPa
2025-01-25 20:37:24,72.07 °F,19.34 %,982.86 hPa
2025-01-25 20:37:37,72.01 °F,19.39 %,982.86 hPa
2025-01-25 20:37:39,72.00 °F,19.40 %,982.88 hPa
2025-01-25 20:37:42,72.00 °F,19.42 %,982.88 hPa
2025-01-25 20:37:45,71.98 °F,19.41 %,982.87 hPa
2025-01-25 20:38:53,71.82 °F,19.52 %,982.83 hPa
2025-01-25 20:38:56,71.82 °F,19.49 %,982.78 hPa
2025-01-25 20:40:04,71.74 °F,19.57 %,982.77 hPa
2025-01-25 20:40:06,71.74 °F,19.59 %,982.74 hPa
2025-01-25 20:40:10,71.74 °F,19.62 %,982.79 hPa
2025-01-25 20:41:21,71.67 °F,19.66 %,982.82 hPa
2025-01-25 20:41:25,71.67 °F,19.66 %,982.80 hPa
2025-01-25 20:41:38,71.64 °F,19.67 %,982.79 hPa
2025-01-25 20:41:40,71.65 °F,19.64 %,982.80 hPa
2025-01-25 20:41:43,71.65 °F,19.65 %,982.80 hPa
2025-01-25 20:41:46,71.64 °F,19.66 %,982.81 hPa
2025-01-25 20:41:49,71.64 °F,19.68 %,982.80 hPa
2025-01-25 20:41:51,71.62 °F,19.67 %,982.81 hPa
2025-01-25 20:41:53,71.62 °F,19.66 %,982.81 hPa
2025-01-25 20:41:56,71.60 °F,19.66 %,982.78 hPa
2025-01-25 20:42:02,71.58 °F,19.68 %,982.75 hPa
2025-01-25 20:42:04,71.56 °F,19.69 %,982.77 hPa
2025-01-25 20:42:07,71.56 °F,19.68 %,982.78 hPa
2025-01-25 20:42:09,71.56 °F,19.68 %,982.79 hPa
2025-01-25 20:42:15,71.56 °F,19.69 %,982.80 hPa
2025-01-25 20:42:18,71.56 °F,19.69 %,982.82 hPa
2025-01-25 20:42:27,71.60 °F,19.72 %,982.82 hPa
2025-01-25 20:42:30,71.58 °F,19.69 %,982.81 hPa
2025-01-25 20:42:35,71.58 °F,19.73 %,982.83 hPa
2025-01-25 20:42:37,71.58 °F,19.73 %,982.81 hPa
2025-01-25 20:42:43,71.56 °F,19.71 %,982.84 hPa
2025-01-25 20:42:55,71.55 °F,19.73 %,982.83 hPa
2025-01-25 20:45:13,71.64 °F,19.67 %,982.86 hPa
2025-01-25 20:45:15,71.64 °F,19.68 %,982.87 hPa
2025-01-25 20:45:18,71.64 °F,19.67 %,982.84 hPa
2025-01-25 20:45:20,71.64 °F,19.68 %,982.87 hPa
2025-01-25 20:45:22,71.65 °F,19.73 %,982.84 hPa
2025-01-25 20:45:36,71.65 °F,19.71 %,982.79 hPa
2025-01-25 20:45:54,71.65 °F,19.68 %,982.85 hPa
2025-01-25 20:46:36,71.67 °F,19.75 %,982.83 hPa
2025-01-25 20:46:39,71.67 °F,19.72 %,982.83 hPa
2025-01-25 20:46:42,71.67 °F,19.75 %,982.83 hPa
2025-01-25 20:46:50,71.67 °F,19.69 %,982.83 hPa
2025-01-25 20:47:06,71.67 °F,19.72 %,982.82 hPa
2025-01-25 20:47:09,71.69 °F,19.72 %,982.83 hPa
2025-01-25 20:47:11,71.67 °F,19.71 %,982.81 hPa
2025-01-25 20:47:16,71.69 °F,19.71 %,982.82 hPa
2025-01-25 20:47:26,71.69 °F,19.70 %,982.79 hPa
2025-01-25 20:47:28,71.69 °F,19.73 %,982.78 hPa
2025-01-25 20:47:31,71.67 °F,19.73 %,982.83 hPa
2025-01-25 20:47:34,71.69 °F,19.71 %,982.85 hPa
2025-01-25 20:47:39,71.67 °F,19.71 %,982.82 hPa
2025-01-25 20:47:53,71.65 °F,19.73 %,982.81 hPa
2025-01-25 20:48:11,71.67 °F,19.72 %,982.83 hPa
2025-01-25 20:48:15,71.67 °F,19.72 %,982.83 hPa
2025-01-25 20:48:31,71.67 °F,19.72 %,982.86 hPa
2025-01-25 20:48:33,71.67 °F,19.75 %,982.84 hPa
2025-01-25 20:48:35,71.65 °F,19.75 %,982.84 hPa
2025-01-25 20:48:39,71.65 °F,19.74 %,982.87 hPa
2025-01-25 20:48:42,71.64 °F,19.74 %,982.83 hPa
2025-01-25 20:48:45,71.64 °F,19.72 %,982.83 hPa
2025-01-25 20:48:48,71.62 °F,19.72 %,982.84 hPa
2025-01-25 20:48:52,71.62 °F,19.73 %,982.84 hPa
2025-01-25 20:48:54,71.62 °F,19.74 %,982.84 hPa
2025-01-25 20:48:58,71.64 °F,19.74 %,982.82 hPa
2025-01-25 20:49:00,71.62 °F,19.73 %,982.83 hPa
2025-01-25 20:49:06,71.60 °F,19.73 %,982.79 hPa
2025-01-25 20:49:10,71.62 °F,19.75 %,982.82 hPa
2025-01-25 20:49:20,71.58 °F,19.76 %,982.81 hPa
2025-01-25 20:49:23,71.60 °F,19.78 %,982.80 hPa
2025-01-25 20:49:36,71.58 °F,19.78 %,982.84 hPa
2025-01-25 20:49:39,71.58 °F,19.78 %,982.82 hPa
2025-01-25 20:49:43,71.58 °F,19.76 %,982.81 hPa
2025-01-25 20:49:45,71.60 °F,19.80 %,982.82 hPa
